id, category_id,timestamp,title,url
18,4,31-07-2024,"Diện áo đấu của CLB Al-Ittihad, sao trẻ MU Garnacho gây xôn xao",https://baoquocte.vn/dien-ao-dau-cua-clb-al-ittihad-sao-tre-mu-garnacho-gay-xon-xao-280733.html
19,6,31-07-2024,"Chảo lửa Trung Đông: Israel tấn công vùng ngoại ô thủ đô của Lebanon, gần 70 người thương vong, Nga và Iran lên tiếng",https://baoquocte.vn/chao-lua-trung-dong-israel-tan-cong-vung-ngoai-o-thu-do-cua-lebanon-gan-70-nguoi-thuong-vong-nga-va-iran-len-tieng-280746.html
20,1,31-07-2024,Thủ tướng Modi: Ngày Ấn Độ trở thành nền kinh tế lớn thứ ba thế giới không còn xa,https://baoquocte.vn/thu-tuong-modi-ngay-an-do-tro-thanh-nen-kinh-te-lon-thu-ba-the-gioi-khong-con-xa-280755.html
21,6,31-07-2024,"Chuỗi hoạt động 'Khơi mở thế giới của bạn' thu hút sự tham gia, trải nghiệm của hàng nghìn người",https://baoquocte.vn/chuoi-hoat-dong-khoi-mo-the-gioi-cua-ban-thu-hut-su-tham-gia-trai-nghiem-cua-hang-nghin-nguoi-280805.html
22,2,31-07-2024,Nga cần thị trường Trung Quốc hơn hay Bắc Kinh cần khí đốt Moscow hơn?,https://baoquocte.vn/nga-can-thi-truong-trung-quoc-hon-hay-bac-kinh-can-khi-dot-moscow-hon-280780.html
23,6,31-07-2024,Giá xăng dầu hôm nay 31/7: Tăng nhẹ đầu phiên,https://baoquocte.vn/gia-xang-dau-hom-nay-317-tang-nhe-dau-phien-280758.html
24,1,31-07-2024,Chiến thắng ngoại giao của Cộng hòa Trung Phi,https://baoquocte.vn/chien-thang-ngoai-giao-cu-a-cong-ho-a-trung-phi-280761.html
25,6,31-07-2024,"Chảo lửa Trung Đông: Chỉ huy cấp cao Hezbollah tử vong, Israel sẵn sàng cho mọi kịch bản, Mỹ tuyên bố sẽ giúp đồng minh 'tự vệ'",https://baoquocte.vn/chao-lua-trung-dong-chi-huy-cap-cao-hezbollah-tu-vong-israel-san-sang-cho-moi-kich-ban-my-tuyen-bo-se-giup-dong-minh-tu-ve-280757.html
26,1,31-07-2024,"Venezuela trục xuất nhân viên ngoại giao của 7 nước Mỹ Latinh, Chile nói gì?",https://baoquocte.vn/venezuela-truc-xuat-nhan-vien-ngoai-giao-cua-7-nuoc-my-latinh-chile-noi-gi-280760.html
27,5,31-07-2024,"Các phe phái ở Sudan chấp nhận lời mời tham gia đàm phán của Mỹ, LHQ thông báo thời điểm hòa giải",https://baoquocte.vn/cac-phe-phai-o-sudan-chap-nhan-loi-moi-tham-gia-dam-phan-cua-my-lhq-thong-bao-thoi-diem-hoa-giai-280752.html
28,6,31-07-2024,"PM Pham Minh Chinh arrives in New Delhi, begins State visit",https://en.nhandan.vn/pm-pham-minh-chinh-arrives-in-new-delhi-begins-state-visit-post137828.html
29,6,01-08-2024,"Từ 1/8, có thể bấm biển số xe trên cổng dịch vụ công hoặc VNeID",https://nhandan.vn/tu-18-co-the-bam-bien-so-xe-tren-cong-dich-vu-cong-hoac-vneid-post822159.html
30,1,31-07-2024,"Chủ tịch nước Tô Lâm: Cải cách tư pháp đáp ứng tốt hơn yêu cầu, đòi hỏi của tình hình mới",https://nhandan.vn/chu-tich-nuoc-to-lam-cai-cach-tu-phap-dap-ung-tot-hon-yeu-cau-doi-hoi-cua-tinh-hinh-moi-post821924.html
31,1,01-08-2024,Thắt chặt quản lý di sản,https://nhandan.vn/that-chat-quan-ly-di-san-post822121.html
32,4,01-08-2024,Trần Tùng Anh đoạt giải Đặc biệt cuộc thi tìm kiếm tài năng âm nhạc trẻ tại Trung Quốc,https://nhandan.vn/tran-tung-anh-doat-giai-dac-biet-cuoc-thi-tim-kiem-tai-nang-am-nhac-tre-tai-trung-quoc-post822100.html
33,6,01-08-2024,Nâng cao vai trò của lãnh đạo nữ hướng tới sự phát triển bền vững tại Việt Nam,https://nhandan.vn/nang-cao-vai-tro-cua-lanh-dao-nu-huong-toi-su-phat-trien-ben-vung-tai-viet-nam-post822103.html
34,6,01-08-2024,Lập trạm y tế lưu động phòng bệnh cho người dân nơi lũ quét Mường Pồn,https://nhandan.vn/lap-tram-y-te-luu-dong-phong-benh-cho-nguoi-dan-noi-lu-quet-muong-pon-post822090.html
35,6,01-08-2024,Ngộ độc nhôm do dùng phèn chua liên tục chữa hôi nách nhiều năm,https://nhandan.vn/ngo-doc-nhom-do-dung-phen-chua-lien-tuc-chua-hoi-nach-nhieu-nam-post822079.html
36,6,01-08-2024,Trang trại công nghệ cao xuất bán gần 30.000 con lợn để xử lý ô nhiễm,https://thanhnien.vn/trang-trai-cong-nghe-cao-xuat-ban-gan-30000-con-lon-de-xu-ly-o-nhiem-185240801090131689.htm
37,6,01-08-2024,Bình Thuận: Đường ngàn tỉ vướng mỏ titan 'không chắc chắn khi nào hoàn thành',https://thanhnien.vn/binh-thuan-duong-ngan-ti-vuong-mo-titan-khong-chac-chan-khi-nao-hoan-thanh-185240801113129821.htm
38,6,01-08-2024,"Bộ Công an đề xuất quy định mới về chỉ huy, điều khiển giao thông",https://thanhnien.vn/bo-cong-an-de-xuat-quy-dinh-moi-ve-chi-huy-dieu-khien-giao-thong-185240801111047986.htm
39,6,01-08-2024,"'Ăn chặn' 53 triệu đồng của đội văn nghệ, cựu trưởng bản bị khởi tố",https://thanhnien.vn/an-chan-53-trieu-dong-cua-doi-van-nghe-cuu-truong-ban-bi-khoi-to-185240801121017957.htm
40,6,01-08-2024,"Quốc lộ 16 sụt lún, Bộ GTVT công bố tình huống khẩn cấp về thiên tai",https://thanhnien.vn/quoc-lo-16-sut-lun-cong-bo-tinh-huong-khan-cap-ve-thien-tai-185240801111053387.htm
41,1,01-08-2024,Ông Trần Thanh Toàn giữ chức vụ Chánh thanh tra tỉnh Bình Thuận,https://thanhnien.vn/ong-tran-thanh-toan-giu-chuc-vu-chanh-thanh-tra-tinh-binh-thuan-185240801121238591.htm
42,6,01-08-2024,"Đà Nẵng giảm 9 phường: Tại sao P.Thạch Thang chỉ rộng 1,02 km2 không bị sáp nhập?",https://thanhnien.vn/da-nang-giam-9-phuong-tai-sao-pthach-thang-chi-rong-102-km2-khong-bi-sap-nhap-185240801112451881.htm
43,6,01-08-2024,Điều tra vụ cháy lớn tại kho gỗ ở Quy Nhơn,https://thanhnien.vn/dieu-tra-vu-chay-lon-tai-kho-go-o-quy-nhon-185240801112105498.htm
44,1,01-08-2024,Gia Lai: Hơn 100 ngôi mộ bị đập phá,https://thanhnien.vn/gia-lai-hon-100-ngoi-mo-bi-dap-pha-185240801105521531.htm
45,6,01-08-2024,"Từ 1.8, lãnh đạo TP.HCM không nhận văn bản giấy",https://thanhnien.vn/tu-18-lanh-dao-tphcm-khong-nhan-van-ban-giay-185240801105822557.htm
46,6,01-08-2024,"Dùng sim 'rác' lừa mua bán tôm, chiếm đoạt tiền đặt cọc",https://thanhnien.vn/dung-sim-rac-lua-mua-ban-tom-chiem-doat-tien-dat-coc-185240801094612246.htm
47,6,01-08-2024,Xe tải cẩu cán người phụ nữ bán vé số tại cây xăng,https://thanhnien.vn/xe-tai-cau-can-nguoi-phu-nu-ban-ve-so-tai-cay-xang-185240801093059936.htm
48,6,01-08-2024,"Công an điều tra vụ bị chiếm đoạt 6,2 tỉ đồng khi nhờ bạn vay ngân hàng",https://thanhnien.vn/cong-an-dieu-tra-vu-bi-chiem-doat-62-ti-dong-khi-nho-ban-vay-ngan-hang-185240801055714713.htm
49,1,01-08-2024,"Lừa đảo chuyển tiền ngân hàng, 1 luật sư Mỹ mất khoảng 19 tỉ đồng",https://thanhnien.vn/lua-dao-chuyen-tien-ngan-hang-1-luat-su-my-mat-khoang-19-ti-dong-185240801095205552.htm
50,1,01-08-2024,Dư chấn động đất: Quảng Nam yêu cầu 'phát hiện kịp thời các dấu hiệu bất thường',https://thanhnien.vn/du-chan-dong-dat-quang-nam-yeu-cau-phat-hien-kip-thoi-cac-dau-hieu-bat-thuong-185240801092646528.htm
51,4,01-08-2024,Giải cứu người đi xe máy rơi xuống vực bên đèo Prenn trong đêm,https://thanhnien.vn/giai-cuu-nguoi-di-xe-may-roi-xuong-vuc-ben-deo-prenn-trong-dem-185240801063544524.htm
52,2,01-08-2024,Thủ tướng: 'Chúng ta đi đâu cũng tự hào là người Việt Nam',https://thanhnien.vn/thu-tuong-chung-ta-di-dau-cung-tu-hao-la-nguoi-viet-nam-18524073121204177.htm
53,1,01-08-2024,Đảm bảo chất lượng văn kiện và nhân sự đại hội đảng bộ các cấp,https://thanhnien.vn/dam-bao-chat-luong-van-kien-va-nhan-su-dai-hoi-dang-bo-cac-cap-185240731234134776.htm
54,1,31-07-2024,'Chính phủ Ấn Độ rất coi trọng chuyến thăm cấp nhà nước của Thủ tướng',https://thanhnien.vn/chinh-phu-an-do-rat-coi-trong-chuyen-tham-cap-nha-nuoc-cua-thu-tuong-185240731210142159.htm
55,6,31-07-2024,Cấp giấy khai sinh cho trẻ có hoàn cảnh đặc biệt,https://thanhnien.vn/cap-giay-khai-sinh-cho-tre-co-hoan-canh-dac-biet-185240731213158641.htm
56,6,31-07-2024,"Nhận hối lộ từ doanh nghiệp trúng thầu, cựu chủ tịch quận lãnh 9 năm tù",https://thanhnien.vn/nhan-hoi-lo-tu-doanh-nghiep-trung-thau-cuu-chu-tich-quan-lanh-9-nam-tu-185240731152337799.htm
57,1,31-07-2024,"Các tập đoàn dầu khí, công nghệ hàng đầu Ấn Độ muốn đầu tư vào Việt Nam",https://thanhnien.vn/cac-tap-doan-dau-khi-cong-nghe-hang-dau-an-do-muon-dau-tu-vao-viet-nam-185240731182957907.htm
58,6,31-07-2024,"'Bắt được' 51 triệu, anh thanh niên báo công an tìm trả người chuyển khoản nhầm",https://thanhnien.vn/bat-duoc-51-trieu-anh-thanh-nien-bao-cong-an-tim-tra-nguoi-chuyen-khoan-nham-185240731164824044.htm
59,1,31-07-2024,Khẩn trương xử lý sự cố sạt lở hạ lưu cống ngang trên đèo Prenn,https://thanhnien.vn/khan-truong-xu-ly-su-co-sat-lo-ha-luu-cong-ngang-tren-deo-prenn-185240731172945554.htm
60,1,31-07-2024,Bạc Liêu: Hai bé trai song sinh đuối nước tử vong trong ao tôm,https://thanhnien.vn/bac-lieu-hai-be-trai-song-sinh-duoi-nuoc-tu-vong-trong-ao-tom-185240731171818467.htm
61,6,31-07-2024,"Nghiên cứu thực hiện các bảng lương, chế độ phụ cấp mới của khu vực công",https://thanhnien.vn/nghien-cuu-thuc-hien-cac-bang-luong-che-do-phu-cap-moi-cua-khu-vuc-cong-185240731171618799.htm
62,1,31-07-2024,Cặp vợ chồng 'hờ' thủ 4 khẩu súng và lựu đạn để buôn bán ma túy,https://thanhnien.vn/cap-vo-chong-ho-thu-4-khau-sung-va-luu-dan-de-buon-ban-ma-tuy-18524073117023647.htm
63,6,31-07-2024,"Ly kỳ vụ tranh chấp 13.000 m2 đất giữa 3 công ty, mãi chưa ngã ngũ",https://thanhnien.vn/ly-ky-vu-tranh-chap-13000-m2-dat-giua-3-cong-ty-mai-chua-nga-ngu-185240731165402779.htm
64,5,31-07-2024,"Quảng Trị: Khởi tố 4 bị can bốc đầu xe, 'ra oai' với người xung quanh",https://thanhnien.vn/quang-tri-khoi-to-4-bi-can-boc-dau-xe-ra-oai-voi-nguoi-xung-quanh-185240731162209416.htm
65,6,31-07-2024,Vì sao tỷ lệ hưởng lương hưu của lao động nam và nữ có sự chênh lệch?,https://thanhnien.vn/vi-sao-ty-le-huong-luong-huu-cua-lao-dong-nam-va-nu-co-su-chenh-lech-18524073116110749.htm
66,4,31-07-2024,Bắt nhóm 8 người dàn cảnh móc túi tại lễ tốt nghiệp ở TP.HCM,https://thanhnien.vn/bat-nhom-8-nguoi-dan-canh-moc-tui-tai-le-tot-nghiep-o-tphcm-185240731172444485.htm
67,1,31-07-2024,Việt Nam là trọng tâm trong 'chính sách hướng Đông' của Ấn Độ,https://thanhnien.vn/viet-nam-la-trong-tam-trong-chinh-sach-huong-dong-cua-an-do-185240731145014943.htm
